#1;Ludinghausen 1m Lufttemp 2017
#2;Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
# Zeit [s];T[K]
double default(8761,2);
4489200;278.65
4492800;278.65
4496400;278.65
4500000;278.65
4503600;278.65
4507200;278.65
4510800;278.65
4514400;278.75
4518000;278.75
4521600;278.75
4525200;278.75
4528800;278.75
4532400;278.75
4536000;278.75
4539600;278.75
4543200;278.75
4546800;278.75
4550400;278.85
4554000;278.85
4557600;278.85
4561200;278.85
4564800;278.85
4568400;278.85
4572000;278.85
4575600;278.85
4579200;278.85
4582800;278.85
4586400;278.95
4590000;278.95
4593600;278.95
4597200;278.95
4600800;278.95
4604400;278.95
4608000;278.95
4611600;278.95
4615200;278.95
4618800;278.95
4622400;279.05
4626000;279.05
4629600;279.05
4633200;279.05
4636800;279.05
4640400;279.05
4644000;279.05
4647600;279.05
4651200;279.05
4654800;279.15
4658400;279.15
4662000;279.15
4665600;279.15
4669200;279.15
4672800;279.15
4676400;279.15
4680000;279.15
4683600;279.15
4687200;279.15
4690800;279.25
4694400;279.25
4698000;279.25
4701600;279.25
4705200;279.25
4708800;279.25
4712400;279.25
4716000;279.25
4719600;279.25
4723200;279.25
4726800;279.25
4730400;279.35
4734000;279.35
4737600;279.35
4741200;279.35
4744800;279.35
4748400;279.35
4752000;279.35
4755600;279.35
4759200;279.35
4762800;279.35
4766400;279.35
4770000;279.35
4773600;279.35
4777200;279.35
4780800;279.35
4784400;279.35
4788000;279.35
4791600;279.35
4795200;279.35
4798800;279.35
4802400;279.35
4806000;279.35
4809600;279.35
4813200;279.45
4816800;279.45
4820400;279.45
4824000;279.45
4827600;279.45
4831200;279.45
4834800;279.35
4838400;279.35
4842000;279.35
4845600;279.35
4849200;279.35
4852800;279.35
4856400;279.35
4860000;279.35
4863600;279.35
4867200;279.35
4870800;279.35
4874400;279.35
4878000;279.35
4881600;279.35
4885200;279.35
4888800;279.35
4892400;279.35
4896000;279.35
4899600;279.35
4903200;279.35
4906800;279.35
4910400;279.35
4914000;279.35
